title,price,location,ambientes,banos,metros_cuadrados,link
Dpto. 2 Dormitorios Con Balcón Y Cochera. 3 De Febrero 1600. Alquiler,500000.0,"3 De Febrero 1685, Rosario, Santa Fe",4,2,60.0,https://departamento.mercadolibre.com.ar/MLA-1457701083-dpto-2-dormitorios-con-balcon-y-cochera-3-de-febrero-1600-alquiler-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento De 1 Dormitorio Con Seguridad Y Amenities Sobre Bv. Oroño,470.0,"Bv. Oroño 480 '06-02, Centro, Rosario, Santa Fe",2,1,42.0,https://departamento.mercadolibre.com.ar/MLA-1457673621-departamento-de-1-dormitorio-con-seguridad-y-amenities-sobre-bv-orono-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento Dos Dormitorios Arroyito Doble Balcón,300000.0,"Genova Al 1587, Arroyito, Rosario, Santa Fe",3,1,80.0,https://departamento.mercadolibre.com.ar/MLA-1457587695-departamento-dos-dormitorios-arroyito-doble-balcon-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
27 De Febrero Al 700 Alquiler Departamento 2 Dormitorios En Rosario,400000.0,"27 DE Febrero Al 700, Rosario, Santa Fe",3,1,60.0,https://departamento.mercadolibre.com.ar/MLA-1940785092-27-de-febrero-al-700-alquiler-departamento-2-dormitorios-en-rosario-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Venta Piso 3 Dormitorios. Patio Balcon Rosario,500000.0,"Viamonte 1600, Centro, Rosario, Santa Fe",4,2,100.0,https://departamento.mercadolibre.com.ar/MLA-1942156536-venta-piso-3-dormitorios-patio-balcon-rosario-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento 1 Dor Amplio En Microcentro - Cochera - Estrenar,500000.0,"Sarmiento Al 1100, Rosario, Santa Fe",2,1,78.0,https://departamento.mercadolibre.com.ar/MLA-1942646488-departamento-1-dor-amplio-en-microcentro-cochera-estrenar-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento 1 Dormitorio Zona Río,250000.0,"Salta Al 1300, Centro, Rosario, Santa Fe",2,1,50.0,https://departamento.mercadolibre.com.ar/MLA-1943931280-departamento-1-dormitorio-zona-rio-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento En Pichincha,660000.0,"Francia Al 200, Alberto Olmedo, Rosario, Santa Fe",4,2,70.0,https://departamento.mercadolibre.com.ar/MLA-1944765486-departamento-en-pichincha-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Alquiler Departamento De 1 Dormitorio Con Cochera Y Amenities Terrazas Al Green Fisherton,400000.0,"Eva Perón 8615, Fisherton, Rosario, Santa Fe",2,1,35.0,https://departamento.mercadolibre.com.ar/MLA-1940837622-alquiler-departamento-de-1-dormitorio-con-cochera-y-amenities-terrazas-al-green-fisherton-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Alquiler Temporario Departamento De Un Dormitorio Amoblado Balcón Al Frente,420000.0,"Av. Pellegrini Al 2300, Rosario, Santa Fe",2,1,45.0,https://departamento.mercadolibre.com.ar/MLA-1457520391-alquiler-temporario-departamento-de-un-dormitorio-amoblado-balcon-al-frente-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
